,M1,M2,M3,M4,M5,M6,M7,A1,A2,A3,A4,A5,A6,A7,
M1,206,226,235,106,223,108,124,206,226,235,106,223,108,124, 
M2,2347,1816,1401,1172,2283,1522,2182,2347,1816,1401,1172,2283,1522,2182, 
M3,11337,16001,19798,18295,15378,12267,14042,11337,16001,19798,18295,15378,12267,14042, 
M4,120448,137351,76302,52384,168832,147517,56199,120448,137351,76302,52384,168832,147517,56199, 
M5,2168421,796521,1026236,92884,1236261,912458,533291,2168421,796521,1026236,92884,1236261,912458,533291, 
M6,15622792,8875134,11340217,5594624,9805866,14752476,7477844,15622792,8875134,11340217,5594624,9805866,14752476,7477844, 
M7,377363606,94441785,74575445,83235870,222642104,28667238,105178967,377363606,94441785,74575445,83235870,222642104,28667238,105178967, 
A1,206,226,235,106,223,108,124,206,226,235,106,223,108,124, 
A2,2347,1816,1401,1172,2283,1522,2182,2347,1816,1401,1172,2283,1522,2182, 
A3,6106,7769,10129,9849,7797,6417,7825,6106,7769,10129,9849,7797,6417,7825, 
A4,32039,44845,24340,18060,42369,38255,21377,32039,44845,24340,18060,42369,38255,21377, 
A5,179048,120607,86916,16153,111312,113249,93673,179048,120607,86916,16153,111312,113249,93673, 
A6,640774,532490,692346,311211,441271,579774,340828,640774,532490,692346,311211,441271,579774,340828, 
A7,3513003,1753643,941998,1439543,3159335,725118,1767321,3513003,1753643,941998,1439543,3159335,725118,1767321, 
