4.0,0.02,1.0
5.58,0.03,1.38
7.58,0.03,2.08
8.57,0.03,2.26
10.41,0.04,2.88
12.01,0.05,3.18
13.34,0.08,3.5
14.53,0.05,3.7
17.16,0.04,4.5
18.97,0.03,4.54
23.69,0.02,5.14
19.37,0.03,4.62
24.75,0.05,5.42
28.62,0.05,5.9
36.18,0.04,6.42
46.17,0.05,6.6
52.79,0.04,6.62
82.07,0.03,7.7
61.55,0.02,7.58
62.09,0.02,7.54
